Name,Size,Price,Country,Date
Kabras Kabras Premium White Sugar,2kg,KSh 306,Kenya,Sat Jan 21 2023 00:31:31 GMT+0300 (East Africa Time)
Kabras Kabras Premium White Sugar,1kg,KSh 153,Kenya,Sat Jan 21 2023 00:31:31 GMT+0300 (East Africa Time)
Nutrameal Nutrameal Packed Sugar – 2Kg,2kg,KSh 310,Kenya,Sat Jan 21 2023 00:31:31 GMT+0300 (East Africa Time)
Nutrameal Nutrameal Packed Sugar – 1Kg,1kg,KSh 156,Kenya,Sat Jan 21 2023 00:31:31 GMT+0300 (East Africa Time)
Kakira Light Brown Sugar,2kg,KSh 356,Kenya,Sat Jan 21 2023 00:31:31 GMT+0300 (East Africa Time)
Nutrameal Natural Cane Sugar,2kg,KSh 324,Kenya,Sat Jan 21 2023 00:31:31 GMT+0300 (East Africa Time)
Nutrameal Natural Wholesome Sugar,1kg,KSh 162,Kenya,Sat Jan 21 2023 00:31:31 GMT+0300 (East Africa Time)
Kabras Kabras Premium White Sugar,2kg,KSh 306,Kenya,Sat Jan 21 2023 00:31:31 GMT+0300 (East Africa Time)
Kabras Kabras Premium White Sugar,1kg,KSh 153,Kenya,Sat Jan 21 2023 00:31:31 GMT+0300 (East Africa Time)
Nutrameal Nutrameal Packed Sugar – 2Kg,2kg,KSh 310,Kenya,Sat Jan 21 2023 00:31:31 GMT+0300 (East Africa Time)
Nutrameal Nutrameal Packed Sugar – 1Kg,1kg,KSh 156,Kenya,Sat Jan 21 2023 00:31:31 GMT+0300 (East Africa Time)
Kakira Light Brown Sugar,2kg,KSh 356,Kenya,Sat Jan 21 2023 00:31:31 GMT+0300 (East Africa Time)
Nutrameal Natural Cane Sugar,2kg,KSh 324,Kenya,Sat Jan 21 2023 00:31:31 GMT+0300 (East Africa Time)
Nutrameal Natural Wholesome Sugar,1kg,KSh 162,Kenya,Sat Jan 21 2023 00:31:31 GMT+0300 (East Africa Time)
Lugazi Lugazi Sugar,1kg,"UGX 5,000",Uganda,Sat Jan 21 2023 00:31:31 GMT+0300 (East Africa Time)
Lugazi Lugazi Sugar,5kg,"UGX 24,900",Uganda,Sat Jan 21 2023 00:31:31 GMT+0300 (East Africa Time)
Lugazi Sugar 2kg,2kg,"UGX 10,600",Uganda,Sat Jan 21 2023 00:31:31 GMT+0300 (East Africa Time)
Kakira Very Sweet Sugar-White-Brown 10kgs,10kg,"UGX 85,000",Uganda,Sat Jan 21 2023 00:31:31 GMT+0300 (East Africa Time)
Kakira Sugar,5kg,"UGX 190,000",Uganda,Sat Jan 21 2023 00:31:31 GMT+0300 (East Africa Time)
Kakira Sugar,1kg,"UGX 20,000",Uganda,Sat Jan 21 2023 00:31:31 GMT+0300 (East Africa Time)
Kakira Sugar 10kg,10kg,"UGX 67,000",Uganda,Sat Jan 21 2023 00:31:31 GMT+0300 (East Africa Time)
Kakira Sugar,50kg,"UGX 320,000",Uganda,Sat Jan 21 2023 00:31:31 GMT+0300 (East Africa Time)
Kakira Sugar,5kg,"UGX 65,000",Uganda,Sat Jan 21 2023 00:31:31 GMT+0300 (East Africa Time)
Kakira Sugar,5kg,"UGX 190,000",Uganda,Sat Jan 21 2023 00:31:31 GMT+0300 (East Africa Time)
Kakira Sugar,10kg,"UGX 100,000",Uganda,Sat Jan 21 2023 00:31:31 GMT+0300 (East Africa Time)
Kabras Kabras Premium White Sugar,2kg,KSh 306,Kenya,Sat Jan 21 2023 00:31:31 GMT+0300 (East Africa Time)
Kabras Kabras Premium White Sugar,1kg,KSh 153,Kenya,Sat Jan 21 2023 00:31:31 GMT+0300 (East Africa Time)
Nutrameal Nutrameal Packed Sugar – 2Kg,2kg,KSh 310,Kenya,Sat Jan 21 2023 00:31:31 GMT+0300 (East Africa Time)
Nutrameal Nutrameal Packed Sugar – 1Kg,1kg,KSh 156,Kenya,Sat Jan 21 2023 00:31:31 GMT+0300 (East Africa Time)
Kakira Light Brown Sugar,2kg,KSh 356,Kenya,Sat Jan 21 2023 00:31:31 GMT+0300 (East Africa Time)
Nutrameal Natural Cane Sugar,2kg,KSh 324,Kenya,Sat Jan 21 2023 00:31:31 GMT+0300 (East Africa Time)
Nutrameal Natural Wholesome Sugar,1kg,KSh 162,Kenya,Sat Jan 21 2023 00:31:31 GMT+0300 (East Africa Time)
Lugazi Lugazi Sugar,1kg,"UGX 5,000",Uganda,Sat Jan 21 2023 00:31:31 GMT+0300 (East Africa Time)
Lugazi Lugazi Sugar,5kg,"UGX 24,900",Uganda,Sat Jan 21 2023 00:31:31 GMT+0300 (East Africa Time)
Lugazi Sugar 2kg,2kg,"UGX 10,600",Uganda,Sat Jan 21 2023 00:31:31 GMT+0300 (East Africa Time)
Kakira Very Sweet Sugar-White-Brown 10kgs,10kg,"UGX 85,000",Uganda,Sat Jan 21 2023 00:31:31 GMT+0300 (East Africa Time)
Kakira Sugar,5kg,"UGX 190,000",Uganda,Sat Jan 21 2023 00:31:31 GMT+0300 (East Africa Time)
Kakira Sugar,1kg,"UGX 20,000",Uganda,Sat Jan 21 2023 00:31:31 GMT+0300 (East Africa Time)
Kakira Sugar 10kg,10kg,"UGX 67,000",Uganda,Sat Jan 21 2023 00:31:31 GMT+0300 (East Africa Time)
Kakira Sugar,50kg,"UGX 320,000",Uganda,Sat Jan 21 2023 00:31:31 GMT+0300 (East Africa Time)
Kakira Sugar,5kg,"UGX 65,000",Uganda,Sat Jan 21 2023 00:31:31 GMT+0300 (East Africa Time)
Kakira Sugar,5kg,"UGX 190,000",Uganda,Sat Jan 21 2023 00:31:31 GMT+0300 (East Africa Time)
Kakira Sugar,10kg,"UGX 100,000",Uganda,Sat Jan 21 2023 00:31:31 GMT+0300 (East Africa Time)
Dangote Sugar 1Kg X1,1kg,₦ 950,Nigeria,Sat Jan 21 2023 00:31:31 GMT+0300 (East Africa Time)
